,precision,recall,f1,support
0,0.3333333333333333,0.5,0.4,10.0
1,0.2222222222222222,0.2222222222222222,0.2222222222222222,9.0
2,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
3,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
4,0.4444444444444444,0.3076923076923077,0.3636363636363637,13.0
5,1.0,0.5714285714285714,0.7272727272727273,7.0
6,0.6,0.375,0.4615384615384615,8.0
7,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
8,0.5454545454545454,0.5,0.5217391304347826,12.0
9,0.45454545454545453,0.5555555555555556,0.5,9.0
10,0.75,0.75,0.75,4.0
11,0.4,0.5,0.4444444444444445,8.0
12,0.875,0.7,0.7777777777777777,10.0
13,0.5,0.36363636363636365,0.4210526315789474,11.0
14,0.75,0.25,0.375,12.0
15,0.6363636363636364,0.7777777777777778,0.7000000000000001,9.0
16,0.4,0.5714285714285714,0.47058823529411764,7.0
17,0.3157894736842105,0.8571428571428571,0.46153846153846156,7.0
18,0.6666666666666666,0.2857142857142857,0.4,7.0
19,0.5,1.0,0.6666666666666666,3.0
20,0.3333333333333333,0.4,0.3636363636363636,10.0
21,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
22,0.5384615384615384,0.6363636363636364,0.5833333333333334,11.0
23,0.5833333333333334,0.7777777777777778,0.6666666666666666,9.0
24,0.5555555555555556,0.4166666666666667,0.4761904761904762,12.0
25,0.3076923076923077,0.8,0.4444444444444444,5.0
26,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
27,0.5,0.25,0.3333333333333333,8.0
28,0.6,0.3333333333333333,0.42857142857142855,9.0
29,0.6666666666666666,0.3076923076923077,0.42105263157894735,13.0
30,0.5555555555555556,0.5,0.5263157894736842,10.0
31,0.7142857142857143,0.625,0.6666666666666666,8.0
32,0.375,0.6666666666666666,0.4800000000000001,9.0
33,0.7142857142857143,0.5555555555555556,0.6250000000000001,9.0
34,0.5714285714285714,0.4444444444444444,0.5,9.0
35,0.75,0.75,0.75,8.0
36,0.5,0.5,0.5,4.0
37,0.625,0.8333333333333334,0.7142857142857143,6.0
38,0.2,0.2,0.20000000000000004,5.0
39,1.0,0.3333333333333333,0.5,6.0
40,0.45454545454545453,0.5555555555555556,0.5,9.0
41,0.6363636363636364,1.0,0.7777777777777778,7.0
42,0.42857142857142855,0.5,0.4615384615384615,6.0
43,0.4375,0.7,0.5384615384615384,10.0
44,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
45,0.6666666666666666,0.36363636363636365,0.4705882352941177,11.0
46,0.3333333333333333,0.375,0.35294117647058826,8.0
47,0.2727272727272727,0.375,0.3157894736842105,8.0
48,0.6666666666666666,0.4,0.5,5.0
49,0.5555555555555556,0.625,0.5882352941176471,8.0
